Date,Price,Open,High,Low,Change %,Vol.
2019-07-04,173.85,173.72,174.05,173.61,0.10%,483440
2019-07-05,173.18,173.94,173.96,172.99,-0.39%,709220
2019-07-08,173.51,173.41,173.70,173.29,0.19%,512170
2019-07-09,173.21,173.35,173.46,173.04,-0.17%,565770
2019-07-10,172.51,173.05,173.08,172.02,-0.40%,1090000
2019-07-11,171.82,172.54,172.73,171.50,-0.40%,812400
2019-07-12,171.68,171.55,171.88,171.25,-0.08%,766690
2019-07-15,172.33,171.74,172.42,171.49,0.38%,502400
2019-07-16,172.34,172.33,172.68,172.16,0.01%,580060
2019-07-17,172.93,172.47,173.13,172.44,0.34%,528060
2019-07-18,173.25,173.12,173.63,173.02,0.19%,629370
2019-07-19,173.39,173.47,173.57,173.27,0.08%,436420
2019-07-22,173.78,173.39,173.79,173.29,0.22%,408710
2019-07-23,173.91,173.61,173.97,173.56,0.07%,397220
2019-07-24,174.30,173.78,174.51,173.74,0.22%,600270
2019-07-25,174.01,174.26,174.92,173.49,-0.17%,985680
2019-07-26,174.21,174.25,174.30,173.92,0.11%,407410
2019-07-29,174.46,174.32,174.57,174.27,0.14%,390380
2019-07-30,174.55,174.43,174.65,174.36,0.05%,402730
2019-07-31,175.07,174.61,175.28,174.52,0.30%,594050
2019-08-01,175.44,175.03,175.88,174.73,0.21%,728990
2019-08-02,175.82,175.72,176.10,175.62,0.22%,864960
2019-08-05,176.22,175.98,176.63,175.93,0.23%,588130
2019-08-06,176.58,176.61,176.74,176.12,0.20%,538520
2019-08-07,177.36,176.75,177.74,176.72,0.44%,801060
2019-08-08,176.93,177.00,177.42,176.38,-0.24%,851120
2019-08-09,177.16,177.50,177.55,176.96,0.13%,535280
2019-08-12,177.44,177.15,177.68,177.03,0.16%,340320
2019-08-13,177.68,177.50,177.84,177.31,0.14%,579110
2019-08-14,178.31,177.71,178.49,177.62,0.35%,638590
2019-08-15,179.06,178.40,179.66,178.18,0.42%,885060
2019-08-16,178.60,179.39,179.58,178.14,-0.26%,739020
2019-08-19,178.15,178.72,178.84,177.82,-0.25%,738530
2019-08-20,178.90,178.19,179.19,178.19,0.42%,638040
2019-08-21,178.68,178.76,178.83,178.19,-0.12%,545220
2019-08-22,178.04,178.73,178.94,177.65,-0.36%,886660
2019-08-23,178.54,178.01,178.83,177.48,0.28%,648610
2019-08-26,178.52,179.08,179.21,178.22,-0.01%,448010
2019-08-27,178.94,178.51,179.07,178.45,0.24%,518170
2019-08-28,179.30,179.00,179.46,178.88,0.20%,709330
2019-08-29,178.94,179.20,179.36,178.57,-0.20%,734950
2019-08-30,179.10,178.91,179.27,178.63,0.09%,721960
2019-09-02,178.96,179.18,179.20,178.60,-0.08%,608730
2019-09-03,179.32,178.89,179.67,178.81,0.20%,1610000
2019-09-04,178.52,178.97,179.00,177.98,-0.45%,972350
2019-09-05,177.31,178.57,178.57,176.97,-0.68%,225600
2019-09-06,177.70,177.35,177.78,177.09,0.22%,8210
2019-09-09,174.24,175.21,175.30,174.19,-1.95%,645230
2019-09-10,173.98,174.31,174.52,173.75,-0.15%,711970
2019-09-11,174.24,173.80,174.38,173.65,0.15%,619520
2019-09-12,173.93,174.03,175.62,173.23,-0.18%,1240000
2019-09-13,172.44,173.52,173.63,172.18,-0.86%,949710
2019-09-16,172.98,172.51,173.13,172.40,0.31%,600070
2019-09-17,172.87,172.99,173.16,172.67,-0.06%,581500
2019-09-18,173.37,172.87,173.48,172.65,0.29%,505360
2019-09-19,173.30,173.07,173.40,172.86,-0.04%,531380
2019-09-20,173.47,173.32,173.84,173.23,0.10%,475450
2019-09-23,174.54,173.60,174.64,173.29,0.62%,683110
